epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,57.8005,3.39117,5.43287,2.95401,0.00155,0.22201,0.00264,0.00063,3.35222,3.97024,3.03254,0.00123529,0.000411765,0.00123529,0.000411765,0.00123529,0.000411765,0.00123529,0.000411765
2,115.875,2.94995,3.78991,2.60413,0.40129,0.05817,0.03584,0.01283,2.93309,3.21437,2.67007,0.00246069,0.00082023,0.00246069,0.00082023,0.00246069,0.00082023,0.00246069,0.00082023
3,170.78,2.64841,3.20649,2.32661,0.39105,0.11003,0.07354,0.03162,2.69135,2.83361,2.47105,0.00366134,0.00122045,0.00366134,0.00122045,0.00366134,0.00122045,0.00366134,0.00122045
4,225.992,2.4058,2.82396,2.13321,0.43827,0.16641,0.12226,0.05518,2.4632,2.57987,2.30149,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287
5,281.27,2.27264,2.55409,2.01431,0.51402,0.20544,0.38205,0.1232,2.31887,2.3932,2.20141,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005
6,336.516,2.12935,2.39514,1.92234,0.51239,0.21151,0.28337,0.12696,2.28786,2.30097,2.16673,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
7,391.59,2.06299,2.25893,1.87502,0.65613,0.24512,0.30221,0.11178,2.16668,2.19255,2.10325,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
8,446.093,1.98076,2.16896,1.83685,0.57208,0.36188,0.43916,0.14563,2.10563,2.07465,2.04217,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337
9,500.923,1.91005,2.07087,1.77499,0.61742,0.41473,0.44857,0.15712,2.03781,2.0224,1.98765,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
10,555.864,1.87212,2.00444,1.74569,0.30806,0.3618,0.27819,0.1313,2.0846,2.01356,1.98467,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863
11,609.919,1.7983,1.91102,1.68411,0.4884,0.51862,0.51076,0.23653,1.98763,1.94841,1.93556,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
12,664.595,1.78008,1.87865,1.67159,0.61579,0.49615,0.54059,0.25415,1.92163,1.83063,1.88931,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388
13,719.102,1.74304,1.83915,1.65093,0.83113,0.44197,0.57278,0.23721,1.93318,1.83688,1.89291,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
14,773.108,1.70522,1.74867,1.61715,0.49321,0.59335,0.50108,0.24205,1.87315,1.73339,1.84966,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913
15,827.054,1.68513,1.71471,1.59329,0.52014,0.51097,0.45538,0.23406,1.85134,1.75047,1.8477,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
16,881.346,1.64563,1.688,1.57515,0.52784,0.5211,0.47989,0.25192,1.86837,1.72491,1.85285,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
17,935.464,1.6471,1.68416,1.56344,0.63101,0.50791,0.59086,0.25094,1.82833,1.64631,1.82757,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
18,989.897,1.5969,1.62491,1.53315,0.57183,0.52617,0.49302,0.26932,1.81893,1.64499,1.83759,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962
19,1045.14,1.57786,1.57738,1.52874,0.57722,0.53144,0.50299,0.2482,1.82911,1.61864,1.82374,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
20,1099.62,1.54743,1.55437,1.50433,0.59394,0.54517,0.50751,0.2653,1.76814,1.57818,1.79998,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488
21,1153.99,1.54776,1.54087,1.49954,0.76069,0.59951,0.65242,0.24215,1.78715,1.56249,1.79619,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
22,1209.07,1.52325,1.52064,1.48762,0.66212,0.59166,0.63359,0.26827,1.77875,1.56832,1.80128,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125
23,1263.59,1.49992,1.47071,1.46031,0.73609,0.63047,0.67737,0.27273,1.71828,1.4918,1.7703,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
24,1319.2,1.48636,1.45415,1.45114,0.77345,0.60011,0.66742,0.26075,1.73141,1.50903,1.78106,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375
25,1373.57,1.48957,1.44763,1.45754,0.77235,0.6194,0.67651,0.26041,1.72243,1.49394,1.764,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
26,1428.2,1.45115,1.41571,1.42866,0.77731,0.62019,0.6805,0.26872,1.70272,1.45481,1.76601,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
