epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,815.385,1.12361,1.88472,0.00906,0.60377,0.46039,0.49094,0.35272,1.00975,1.35832,0.01283,0.00999292,0.00333097,0.00999292,0.00333097,0.0766832,0.0700212,0.00999292,0.00333097
2,1495.22,1.11226,1.39414,0.00891,0.57859,0.46909,0.48955,0.34548,1.05364,1.33414,0.01364,0.019795,0.00659833,0.019795,0.00659833,0.0531519,0.0399553,0.019795,0.00659833
3,2124.3,1.17587,1.39776,0.00957,0.55899,0.48046,0.49629,0.33001,1.14601,1.36882,0.01545,0.0293991,0.00979969,0.0293991,0.00979969,0.0294227,0.00982329,0.0293991,0.00979969
4,2735.31,1.22424,1.40836,0.01009,0.54897,0.50596,0.5049,0.33492,1.13581,1.30407,0.01497,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3345.22,1.19263,1.34624,0.00968,0.60014,0.52932,0.55068,0.38482,1.07498,1.20574,0.01398,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3954.95,1.15977,1.29068,0.00941,0.63875,0.51689,0.57177,0.39995,1.05722,1.17872,0.01369,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4562.47,1.14215,1.25557,0.0092,0.67354,0.54365,0.58784,0.41777,1.02112,1.13989,0.01303,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5168.54,1.12534,1.21838,0.00901,0.67284,0.56228,0.61242,0.43983,0.99129,1.09838,0.01254,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5790.47,1.10665,1.1827,0.00875,0.68842,0.56223,0.63051,0.44678,0.98704,1.07792,0.01256,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6408.97,1.08887,1.15742,0.00856,0.69489,0.58623,0.63901,0.46448,0.96575,1.0605,0.01217,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,7035.74,1.07195,1.12777,0.00845,0.72194,0.5763,0.64586,0.46726,0.94334,1.01286,0.01183,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,7661,1.06292,1.10911,0.00833,0.68429,0.60859,0.66406,0.49334,0.92137,0.99163,0.01135,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,8288.84,1.0495,1.09619,0.00813,0.73538,0.59311,0.66959,0.49721,0.91322,0.96523,0.01125,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,8916.84,1.04288,1.07739,0.00808,0.69673,0.62796,0.6879,0.50495,0.90589,0.94446,0.01117,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,9544.76,1.03425,1.05873,0.00803,0.73898,0.61589,0.69197,0.51654,0.88973,0.92289,0.01084,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,10171,1.02608,1.04047,0.00793,0.74587,0.60596,0.69915,0.51808,0.88368,0.90261,0.01084,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,10799.2,1.01805,1.0256,0.00784,0.71928,0.64522,0.70855,0.53184,0.86418,0.89293,0.01052,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,11425.6,1.00784,1.00497,0.00774,0.74553,0.65494,0.71851,0.54024,0.86139,0.87562,0.01038,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,12051.6,1.00361,0.98786,0.00766,0.7985,0.63601,0.73711,0.55499,0.8514,0.85388,0.01022,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,12678.3,0.99468,0.97937,0.00764,0.76117,0.65918,0.73323,0.55864,0.84523,0.84,0.01015,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,13303.6,0.98673,0.96653,0.00748,0.74569,0.67806,0.73536,0.55901,0.83523,0.83671,0.01,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,13930.8,0.98101,0.95561,0.00745,0.74188,0.68237,0.74419,0.56456,0.83207,0.81444,0.00998,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,14558.2,0.97481,0.94309,0.00739,0.79454,0.65649,0.75193,0.56918,0.81993,0.80892,0.00971,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,15185.5,0.97024,0.93329,0.00733,0.77093,0.68313,0.75949,0.57924,0.81296,0.78733,0.00963,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,15811.7,0.96279,0.92183,0.00727,0.75386,0.69686,0.76185,0.5842,0.80883,0.78474,0.00958,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,16438.9,0.95887,0.91142,0.00726,0.7718,0.70173,0.76997,0.58766,0.80353,0.77494,0.00951,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,17065.9,0.95096,0.89771,0.00715,0.76807,0.68338,0.77428,0.59126,0.80167,0.76629,0.00947,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,17691.3,0.9454,0.88968,0.00711,0.77482,0.69724,0.78159,0.60271,0.7941,0.76001,0.0093,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
