epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1263.21,0.79888,0.64765,0.00519,0.81586,0.76117,0.83116,0.65016,0.73446,0.64625,0.00841,0.000499773,0.000166591,0.000499773,0.000166591,0.0671816,0.0668484,0.000499773,0.000166591
2,2316.11,0.7414,0.5326,0.00474,0.79555,0.77585,0.83316,0.65583,0.72868,0.63942,0.00834,0.000979977,0.000326659,0.000979977,0.000326659,0.0343284,0.0336751,0.000979977,0.000326659
3,3286.73,0.70376,0.49446,0.00453,0.8269,0.7441,0.83307,0.65671,0.72429,0.63463,0.00829,0.00144038,0.000480127,0.00144038,0.000480127,0.00145552,0.000495265,0.00144038,0.000480127
4,4226.83,0.67622,0.47248,0.00433,0.81775,0.76787,0.83756,0.6599,0.72275,0.63701,0.00829,0.0014109,0.0004703,0.0014109,0.0004703,0.0014109,0.0004703,0.0014109,0.0004703
5,5172.07,0.66768,0.46266,0.00426,0.8374,0.76224,0.83923,0.65919,0.72615,0.63174,0.00834,0.0013812,0.0004604,0.0013812,0.0004604,0.0013812,0.0004604,0.0013812,0.0004604
6,6115.55,0.6555,0.45112,0.00419,0.83146,0.76608,0.84121,0.6611,0.72616,0.63489,0.00834,0.0013515,0.0004505,0.0013515,0.0004505,0.0013515,0.0004505,0.0013515,0.0004505
7,7059.01,0.65287,0.44819,0.00419,0.81067,0.75965,0.82975,0.6567,0.72495,0.63076,0.00835,0.0013218,0.0004406,0.0013218,0.0004406,0.0013218,0.0004406,0.0013218,0.0004406
8,8000.88,0.64433,0.44083,0.00413,0.83135,0.75791,0.83324,0.65876,0.72441,0.63679,0.00832,0.0012921,0.0004307,0.0012921,0.0004307,0.0012921,0.0004307,0.0012921,0.0004307
9,8945.47,0.64026,0.43921,0.0041,0.8299,0.75083,0.83177,0.65946,0.72166,0.63645,0.00826,0.0012624,0.0004208,0.0012624,0.0004208,0.0012624,0.0004208,0.0012624,0.0004208
10,9890.15,0.63634,0.43494,0.00408,0.82332,0.75432,0.82752,0.65281,0.72341,0.63739,0.00832,0.0012327,0.0004109,0.0012327,0.0004109,0.0012327,0.0004109,0.0012327,0.0004109
11,10830.4,0.62906,0.42915,0.00405,0.82239,0.77009,0.83679,0.65766,0.72286,0.63857,0.00829,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401
12,11775.2,0.6293,0.42704,0.00403,0.82335,0.76518,0.83341,0.6538,0.72118,0.64303,0.0083,0.0011733,0.0003911,0.0011733,0.0003911,0.0011733,0.0003911,0.0011733,0.0003911
13,12717.7,0.62838,0.42552,0.00403,0.81254,0.77799,0.83992,0.66251,0.72408,0.63533,0.00833,0.0011436,0.0003812,0.0011436,0.0003812,0.0011436,0.0003812,0.0011436,0.0003812
14,13658.4,0.62832,0.42479,0.00403,0.84094,0.75846,0.84108,0.66331,0.72249,0.63322,0.00828,0.0011139,0.0003713,0.0011139,0.0003713,0.0011139,0.0003713,0.0011139,0.0003713
15,14600.8,0.62224,0.42133,0.00401,0.84296,0.75762,0.84297,0.66334,0.72372,0.63723,0.00831,0.0010842,0.0003614,0.0010842,0.0003614,0.0010842,0.0003614,0.0010842,0.0003614
16,15545.7,0.62032,0.41695,0.00399,0.85379,0.74957,0.84208,0.66574,0.72168,0.63507,0.00829,0.0010545,0.0003515,0.0010545,0.0003515,0.0010545,0.0003515,0.0010545,0.0003515
17,16488.2,0.61796,0.41703,0.00398,0.8375,0.75796,0.84078,0.66523,0.72021,0.63502,0.00825,0.0010248,0.0003416,0.0010248,0.0003416,0.0010248,0.0003416,0.0010248,0.0003416
18,17431.9,0.61653,0.41555,0.00396,0.83202,0.76046,0.8414,0.66583,0.72195,0.63623,0.00829,0.0009951,0.0003317,0.0009951,0.0003317,0.0009951,0.0003317,0.0009951,0.0003317
19,18375.3,0.61778,0.41742,0.00393,0.83887,0.76056,0.84163,0.6643,0.72206,0.63604,0.00829,0.0009654,0.0003218,0.0009654,0.0003218,0.0009654,0.0003218,0.0009654,0.0003218
20,19316.3,0.61234,0.41015,0.00392,0.83919,0.75668,0.84048,0.66548,0.72073,0.63776,0.00827,0.0009357,0.0003119,0.0009357,0.0003119,0.0009357,0.0003119,0.0009357,0.0003119
21,20256.3,0.61023,0.40897,0.0039,0.84351,0.75411,0.84259,0.66666,0.72051,0.63804,0.00828,0.000906,0.000302,0.000906,0.000302,0.000906,0.000302,0.000906,0.000302
